Lead_0,Lead_1,Lead_2,Lead_3,Lead_4,Lead_5,Lead_6,Lead_7,Lead_8,Lead_9,Lead_10
-740.194422459978,-579.6542806623751,-481.178714080764,-548.456144518677,-617.422665779053,-769.8221673566406,-536.9435264642979,-632.1873213302558,-732.0339300461629,-649.1477122331866,-439.9845847715145
-740.194422459978,-579.6542806623751,-478.737307830764,-546.014738268677,-619.864072029053,-764.9393548566406,-536.9435264642979,-632.1873213302558,-732.0339300461629,-649.1477122331866,-439.9845847715145
-740.194422459978,-579.6542806623751,-478.737307830764,-546.014738268677,-619.864072029053,-764.9393548566406,-536.9435264642979,-632.1873213302558,-732.0339300461629,-649.1477122331866,-439.9845847715145
-740.194422459978,-579.6542806623751,-478.737307830764,-546.014738268677,-622.305478279053,-760.0565423566406,-541.8263389642979,-634.6287275802558,-732.0339300461629,-649.1477122331866,-437.5431785215145
-737.753016209978,-584.5370931623751,-478.737307830764,-541.131925768677,-622.305478279053,-760.0565423566406,-536.9435264642979,-632.1873213302558,-734.4753362961629,-649.1477122331866,-439.9845847715145
-737.753016209978,-584.5370931623751,-478.737307830764,-541.131925768677,-622.305478279053,-760.0565423566406,-536.9435264642979,-632.1873213302558,-734.4753362961629,-649.1477122331866,-439.9845847715145
-737.753016209978,-584.5370931623751,-478.737307830764,-541.131925768677,-622.305478279053,-760.0565423566406,-536.9435264642979,-629.7459150802558,-729.5925237961629,-646.7063059831866,-439.9845847715145
-737.753016209978,-584.5370931623751,-478.737307830764,-541.131925768677,-617.422665779053,-755.1737298566406,-532.0607139642979,-624.8631025802558,-729.5925237961629,-646.7063059831866,-444.8673972715145
-737.753016209978,-584.5370931623751,-476.295901580764,-543.573332018677,-617.422665779053,-755.1737298566406,-532.0607139642979,-624.8631025802558,-729.5925237961629,-646.7063059831866,-444.8673972715145
-737.753016209978,-584.5370931623751,-476.295901580764,-543.573332018677,-617.422665779053,-755.1737298566406,-532.0607139642979,-624.8631025802558,-729.5925237961629,-646.7063059831866,-444.8673972715145
-742.635828709978,-584.5370931623751,-478.737307830764,-541.131925768677,-619.864072029053,-755.1737298566406,-532.0607139642979,-629.7459150802558,-732.0339300461629,-646.7063059831866,-442.4259910215145
-745.077234959978,-584.5370931623751,-478.737307830764,-533.807707018677,-614.981259529053,-760.0565423566406,-532.0607139642979,-629.7459150802558,-732.0339300461629,-646.7063059831866,-442.4259910215145
-745.077234959978,-584.5370931623751,-478.737307830764,-533.807707018677,-612.539853279053,-757.6151361066406,-532.0607139642979,-629.7459150802558,-732.0339300461629,-646.7063059831866,-442.4259910215145
-745.077234959978,-582.0956869123751,-478.737307830764,-531.366300768677,-612.539853279053,-752.7323236066406,-532.0607139642979,-629.7459150802558,-732.0339300461629,-649.1477122331866,-442.4259910215145
-742.635828709978,-579.6542806623751,-478.737307830764,-526.483488268677,-612.539853279053,-750.2909173566406,-532.0607139642979,-627.3045088302558,-732.0339300461629,-649.1477122331866,-442.4259910215145
-745.077234959978,-579.6542806623751,-478.737307830764,-526.483488268677,-612.539853279053,-750.2909173566406,-532.0607139642979,-627.3045088302558,-732.0339300461629,-649.1477122331866,-442.4259910215145
-745.077234959978,-579.6542806623751,-478.737307830764,-526.483488268677,-612.539853279053,-750.2909173566406,-532.0607139642979,-624.8631025802558,-732.0339300461629,-646.7063059831866,-442.4259910215145
